R,G,B,H_HSV,S_HSV,V,H_HSL,S_HSL,L,Image
130.25266014202327,131.2616584558186,131.96458453582966,81.37353176893643,23.0745743332412,136.03521036233417,81.3411283886685,131.38837082750715,18.629242610236734,IMG_20240903_104457_724.jpg
137.27826751851853,134.81013847222223,136.66373369444443,98.41742378703704,24.949511453703703,140.91564752777776,98.39083085185185,136.85601707407406,18.75395824074074,IMG_20240903_103046_858.jpg
119.71906205626192,120.86008642053092,116.12774736534752,59.64451600708897,32.910820078775366,124.55793618775472,59.614990234375,118.90673065979449,24.17174848383845,IMG_20240903_104550_233.jpg
125.75203340433143,125.36456512652293,122.75309930722663,72.81374449900278,32.13609057269988,130.91020934614008,72.78951267397242,124.98590564231594,23.033298477876777,IMG_20240903_104559_360.jpg
131.88414379891282,132.70781473562695,129.77859536236124,75.00796831642387,31.956410440106875,137.41269275507827,74.98181834040605,131.51571501785793,24.04060897800685,IMG_20240903_104421_864.jpg
121.26269703452095,114.59734387591791,109.38555042501244,41.94158458176303,55.78878005739529,125.61292879412696,41.92478644654498,115.53910966727085,39.55977909260643,20240903_120058.jpg
140.315949361218,135.0626841809202,130.6376996110591,48.71237475115628,44.77300476626311,143.54598511774947,48.689614963802136,135.67045865204832,37.06236870044735,20240903_120208.jpg
113.32396173758346,111.38780861813866,105.78535118989551,57.68771331607158,90.14338870913545,127.12608360160857,57.69437836360237,109.58292058917577,87.48941769370013,IMG_20240903_115123_764.jpg
126.97878762627904,126.97282443011837,124.92150214145964,72.79616959195066,30.88829131032128,132.2658181615559,72.76874132847728,126.76049779282648,22.41259689410445,IMG_20240903_104450_593.jpg
133.56895426960628,126.56594510161867,123.85682985822059,49.803808027794695,43.18158354117408,136.45342448100212,49.789104867429636,128.83301610053752,32.484862692957776,20240903_115950.jpg
148.97168024074074,147.7926689074074,150.44549857407407,116.52511586111112,10.596996481481481,151.90354562962963,116.51191508333334,149.48070488888888,7.798604916666667,IMG_20240903_103033_846.jpg
130.51266767445324,124.38402856366808,118.15004771166842,38.01331704517951,41.130681557505675,131.84783131953327,37.98792546956161,124.63138725883603,32.194901646058796,20240903_120241.jpg
135.872612754296,129.21400168954412,124.5945939616917,44.461253458379105,42.1819311037025,138.6089068180851,44.437529900309585,130.4697885318786,29.843311946958554,20240903_120055.jpg
133.31147939999573,123.99270249595068,117.25183459905077,37.560133719836216,58.457670761312166,136.7789912279681,37.53450531049445,125.47839460562676,44.35108207952892,20240903_120238.jpg
129.7010248655914,128.04173204181842,126.55748838490179,73.21817635844823,26.675054586558055,133.08199822369278,73.19233420455038,128.4261652019923,19.24323511140197,IMG_20240903_104412_829.jpg
127.61265214118865,127.71415333081318,125.79082940743692,71.71815552646983,22.760871159463882,131.75644224698124,71.68424716278616,127.30550155613184,16.288116169273543,IMG_20240903_104532_315.jpg
132.1132205324044,128.93982937085391,123.27786361794897,49.29877519822559,50.28943756029418,140.248981350129,49.29563338021375,128.19299854142278,52.76104475928395,IMG_20240903_115132_657.jpg
133.81373505524763,127.74289920632651,122.4863967305227,46.490849009213036,48.47656661414962,136.59284848177074,46.471303681756645,128.38621068369022,35.835341779447006,20240903_115958.jpg
140.67362512037036,139.4825899537037,142.89018630555555,97.49219651851851,17.428996722222223,145.6172858240741,97.46189936111111,141.63997564814815,13.782424148148149,IMG_20240903_103056_316.jpg
136.62392462037036,130.7114207037037,133.39425364814815,120.3923784074074,38.49298474074074,139.43672612962962,120.38311506481482,134.53779778703705,28.304756333333334,IMG_20240903_102947_532.jpg
